,paracetamol_xtb300K_rotated
Number of points,20000.0
Area sum,127.17852054194526
Area avg,6.358926027097263
Volume sum,28.109488149342756
Volume avg,1.4054744074671377
Density,0.7115035284079917
O1 volume,0.24587755112844445
O2 volume,5.737162290181406
N3 volume,0.10515655502025953
C4 volume,0.06425863659115572
C5 volume,0.14762937181677727
C6 volume,0.08836290035098072
C7 volume,0.08860598483227639
C8 volume,0.08201220068354693
C9 volume,0.04566427649980135
C10 volume,0.313382622460518
C11 volume,0.08114728027893049
H12 volume,0.5314060438702319
H13 volume,0.3020804063047409
H14 volume,2.0319691353574574
H15 volume,0.3270757122617851
H16 volume,0.3656465116159936
H17 volume,5.260777526716676
H18 volume,5.27064022878665
H19 volume,5.1833428761822455
H20 volume,1.83729003840288
O1 area,2.566596345972645
O2 area,23.236354863620996
N3 area,2.1511666590951126
C4 area,1.2888274544532559
C5 area,1.8264185596898408
C6 area,1.1870855629669201
C7 area,1.1366689334945204
C8 area,1.0925727619205297
C9 area,0.6985863859154711
C10 area,3.1345774607209487
C11 area,1.0596099528383562
H12 area,4.519769433034918
H13 area,2.932122739755017
H14 area,13.702739218526398
H15 area,3.0573389013067143
H16 area,3.245835223821337
H17 area,16.844264259802113
H18 area,17.025511522117416
H19 area,16.74861561885216
H20 area,9.723858684040605
O1 % volume,0.874713725921023
O2 % volume,20.410056062566724
N3 % volume,0.37409629966071883
C4 % volume,0.2286012333264709
C5 % volume,0.5251940947214617
C6 % volume,0.3143525769004328
C7 % volume,0.3152173542311482
C8 % volume,0.2917598507942398
C9 % volume,0.16245146925903398
C10 % volume,1.1148642081120406
C11 % volume,0.28868288119585644
H12 % volume,1.8904863761550104
H13 % volume,1.0746563747437146
H14 % volume,7.228766047114836
H15 % volume,1.1635776166540857
H16 % volume,1.3007939158242658
H17 % volume,18.715308862141914
H18 % volume,18.750395598754032
H19 % volume,18.43983372676048
H20 % volume,6.536191725162519
O1 % area,2.0181052075740613
O2 % area,18.270659828879925
N3 % area,1.691454382334655
C4 % area,1.0134002573399825
C5 % area,1.436106153701845
C6 % area,0.9334009846225587
C7 % area,0.8937585754660756
C8 % area,0.8590859189623801
C9 % area,0.5492958896978736
C10 % area,2.464706655938116
C11 % area,0.8331673841801628
H12 % area,3.5538779770159654
H13 % area,2.3055172581504926
H14 % area,10.774413132135031
H15 % area,2.403974262539373
H16 % area,2.552188223286349
H17 % area,13.244582644949574
H18 % area,13.387096696491419
H19 % area,13.169374472577097
H20 % area,7.645834094157071
